GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rompecabezas3,rompecabezas.interfaz,FichaTransferHandler.FichaTransferable,37,0,2,0,8,0,5,0,4,0
rompecabezas3,rompecabezas.interfaz,FichaTransferHandler,110,0,14,0,32,0,13,0,6,0
rompecabezas3,rompecabezas.interfaz,PanelOrdenamientoFichas,283,0,8,0,71,0,10,0,6,0
rompecabezas3,rompecabezas.interfaz,DTImagenFicha,94,0,10,0,31,0,14,0,9,0
rompecabezas3,rompecabezas.interfaz,Imagen,15,0,0,0,6,0,3,0,3,0
rompecabezas3,rompecabezas.interfaz,PanelExtension,75,0,4,0,18,0,4,0,2,0
rompecabezas3,rompecabezas.interfaz,InterfazRompecabezas,637,0,16,0,152,0,30,0,22,0
rompecabezas3,rompecabezas.interfaz,PanelFigura,268,0,14,0,62,0,14,0,7,0
rompecabezas3,rompecabezas.interfaz,ImagenFicha,136,0,10,0,49,0,18,0,13,0
rompecabezas3,rompecabezas.interfaz,PanelFichas,171,0,8,0,40,0,9,0,5,0
rompecabezas3,rompecabezas.interfaz,PanelFiguras,718,0,14,0,155,0,15,0,8,0
rompecabezas3,rompecabezas.mundo,Figura,88,666,32,104,9,139,33,61,1,25
rompecabezas3,rompecabezas.mundo,JuegoRompecabezas,114,431,16,54,23,98,24,37,8,18
rompecabezas3,rompecabezas.mundo,Ficha,27,97,6,16,8,32,4,18,1,10
